,Param Pair,Avg Accuracy
3,"(2, 20)",0.7738237597493005
1,"(2, 10)",0.7581591122653815
45,"(92, 5)",0.7574871471833589
2,"(2, 15)",0.7533498703027863
30,"(62, 5)",0.7444003345808553
0,"(2, 5)",0.7422671287459301
4,"(2, 25)",0.7334194367484382
25,"(52, 5)",0.7317284335259107
40,"(82, 5)",0.7294769666419118
10,"(22, 5)",0.7264241449010777
15,"(32, 5)",0.7247871639942808
20,"(42, 5)",0.7233947952759754
35,"(72, 5)",0.7211203154169764
5,"(12, 5)",0.7001009899758751
11,"(22, 10)",0.6939188006029653
26,"(52, 10)",0.6819398103793768
16,"(32, 10)",0.6807348276155143
46,"(92, 10)",0.6762726991567488
36,"(72, 10)",0.6646451989354049
41,"(82, 10)",0.6596095809452649
6,"(12, 10)",0.6589927754134269
31,"(62, 10)",0.658415015469018
21,"(42, 10)",0.6480581712622134
17,"(32, 15)",0.6292905708780306
37,"(72, 15)",0.6277464105903736
7,"(12, 15)",0.6271419508673606
27,"(52, 15)",0.6237533568905402
47,"(92, 15)",0.614609013295159
12,"(22, 15)",0.6127696211667641
28,"(52, 20)",0.6075901052210725
8,"(12, 20)",0.606873521963133
13,"(22, 20)",0.5990155427360484
22,"(42, 15)",0.5977045935526893
38,"(72, 20)",0.5946154115287887
32,"(62, 15)",0.5936140796485161
42,"(82, 15)",0.5922980771219886
23,"(42, 20)",0.5846282268991955
44,"(82, 25)",0.582285978903667
33,"(62, 20)",0.581393441959951
24,"(42, 25)",0.5797093671280571
34,"(62, 25)",0.576590586615489
48,"(92, 20)",0.5757646702480091
18,"(32, 20)",0.5716587865129888
29,"(52, 25)",0.5716532046163054
19,"(32, 25)",0.5700534359898494
14,"(22, 25)",0.5679326708373506
43,"(82, 20)",0.5665868038063115
9,"(12, 25)",0.5661127693470276
39,"(72, 25)",0.5658333005220538
49,"(92, 25)",0.5540344479770645
