,Param Pair,Avg Accuracy
49,"(2, 25, 1.1)",0.7620294408277557
1,"(2, 5, 0.2111111111111111)",0.7606123596353532
21,"(2, 15, 0.2111111111111111)",0.7605163808546123
17,"(2, 10, 0.8777777777777777)",0.755631801950023
30,"(2, 20, 0.1)",0.7535008663952708
32,"(2, 20, 0.3222222222222222)",0.7523143561901572
28,"(2, 15, 0.9888888888888888)",0.7519061266700354
26,"(2, 15, 0.7666666666666666)",0.7512870598178072
3,"(2, 5, 0.43333333333333335)",0.7511397837296427
355,"(72, 5, 0.6555555555555556)",0.7510057314525782
350,"(72, 5, 0.1)",0.7504703941495843
35,"(2, 20, 0.6555555555555556)",0.7493158607404549
13,"(2, 10, 0.43333333333333335)",0.7489601031255395
9,"(2, 5, 1.1)",0.7470919508209848
16,"(2, 10, 0.7666666666666666)",0.7463430786498961
208,"(42, 5, 0.9888888888888888)",0.7460250670296436
39,"(2, 20, 1.1)",0.7454999599721019
29,"(2, 15, 1.1)",0.7452409882124312
18,"(2, 10, 0.9888888888888888)",0.7450229273520879
22,"(2, 15, 0.3222222222222222)",0.7439710032847409
47,"(2, 25, 0.8777777777777777)",0.743693898960959
23,"(2, 15, 0.43333333333333335)",0.7436153699280108
351,"(72, 5, 0.2111111111111111)",0.7422537971655132
8,"(2, 5, 0.9888888888888888)",0.742243321927759
42,"(2, 25, 0.3222222222222222)",0.7421830018669563
40,"(2, 25, 0.1)",0.7421503296006763
11,"(2, 10, 0.2111111111111111)",0.7419656060253337
15,"(2, 10, 0.6555555555555556)",0.7414724949880658
27,"(2, 15, 0.8777777777777777)",0.7411714444115353
34,"(2, 20, 0.5444444444444444)",0.7407329957146414
46,"(2, 25, 0.7666666666666666)",0.739721040749249
2,"(2, 5, 0.3222222222222222)",0.7391501496125792
205,"(42, 5, 0.6555555555555556)",0.739102427100357
41,"(2, 25, 0.2111111111111111)",0.7390819867309822
52,"(12, 5, 0.3222222222222222)",0.738802282984899
45,"(2, 25, 0.6555555555555556)",0.7384706092499307
108,"(22, 5, 0.9888888888888888)",0.7382411529383266
155,"(32, 5, 0.6555555555555556)",0.7382031766395517
7,"(2, 5, 0.8777777777777777)",0.7381434254297325
203,"(42, 5, 0.43333333333333335)",0.7377538057479971
5,"(2, 5, 0.6555555555555556)",0.7376523613902941
44,"(2, 25, 0.5444444444444444)",0.7370945750505175
54,"(12, 5, 0.5444444444444444)",0.73705353714697
0,"(2, 5, 0.1)",0.7368518332724072
